time,latitude,longitude,heading,atmos_pressure,temp,rh,wspd_u_mean,wspd_v_mean
2020-01-15 00:00:00,87.64359607696534,103.19835408528645,326.5233,999.1143,-28.35142,75.23985,-5.131583358592213,-0.016590855252482276
2020-01-15 00:01:00,87.6436414718628,103.19720543225607,326.5233,999.1111,-28.349590000000003,74.71547,-4.892658857896502,-0.06029923701990859
2020-01-15 00:02:00,87.64368731180826,103.19604975382487,326.5233,999.1252,-28.39129,74.89639,-4.792902210656786,-0.04291474463980006
2020-01-15 00:03:00,87.64373346964518,103.19490793546042,326.5233,999.1324,-28.425890000000003,75.02600000000001,-4.903379101621741,0.039549878675797095
2020-01-15 00:04:00,87.64377975463867,103.19377086957294,326.5233,999.1314,-28.428520000000002,74.9267,-4.864987594205752,0.08279608835709558
2020-01-15 00:05:00,87.64382712046304,103.19261803627013,326.5233,999.1309,-28.444779999999998,74.84766,-5.108539939449355,0.028487870671605336
2020-01-15 00:06:00,87.64387543996175,103.19146494865417,326.5233,999.1058,-28.428759999999997,74.6095,-4.7923822436650365,-0.011270657366446037
2020-01-15 00:07:00,87.64392433166503,103.1903080145518,326.5233,999.1134,-28.44083,74.8041,-5.027269909914804,-0.05102372319312332
2020-01-15 00:08:00,87.64397341410319,103.18915305137635,326.5233,999.1162,-28.440009999999997,74.85948,-4.987352108299431,-0.14540017209483036
2020-01-15 00:09:00,87.64402281443279,103.18799152374268,326.5233,999.1229,-28.467270000000003,74.9739,-5.05125704375161,-0.0916515490193525
2020-01-15 00:10:00,87.6440720876058,103.1868264357249,326.5233,999.1239999999999,-28.4903,75.01578,-5.0872605707838625,-0.16984305134368347
2020-01-15 00:11:00,87.64412123362223,103.18566664059956,326.53375000000005,999.1308,-28.512459999999997,75.0187,-5.027902092365472,-0.2244063654670243
2020-01-15 00:12:00,87.64416999816895,103.18449829419454,326.53375000000005,999.1410000000001,-28.521490000000004,74.96876999999999,-5.023491338935098,-0.19539939514986035
2020-01-15 00:13:00,87.64421895345052,103.1833294391632,326.55084999999997,999.1574,-28.529659999999996,74.83610999999999,-5.282776885504282,-0.14240351318969074
2020-01-15 00:14:00,87.64426809946697,103.18214677174886,326.55084999999997,999.1844,-28.52096,74.65509,-5.080027738754627,-0.06265992165961773
